id x y status inf_cout
1 728 882 SUSCEPTIBLE 0
2 747 805 INFECTED 1
3 482 740 SUSCEPTIBLE 0
4 460 618 INFECTED 1
5 410 620 SUSCEPTIBLE 0
6 763 263 SUSCEPTIBLE 0
7 144 112 SUSCEPTIBLE 0
8 799 412 SUSCEPTIBLE 0
9 14 538 SUSCEPTIBLE 0
10 63 306 SUSCEPTIBLE 0
11 765 917 INFECTED 1
12 536 351 SUSCEPTIBLE 0
13 690 537 SUSCEPTIBLE 0
14 800 480 SUSCEPTIBLE 0
15 311 228 SUSCEPTIBLE 0
16 640 670 SUSCEPTIBLE 0
17 927 279 SUSCEPTIBLE 0
18 304 493 INFECTED 1
19 411 702 SUSCEPTIBLE 0
20 772 353 INFECTED 1
21 609 519 INFECTED 1
22 1 311 INFECTED 1
23 539 274 SUSCEPTIBLE 0
24 945 939 SUSCEPTIBLE 0
25 937 848 INFECTED 1
26 342 123 INFECTED 1
27 544 328 INFECTED 1
28 682 753 SUSCEPTIBLE 0
29 274 140 SUSCEPTIBLE 0
30 170 654 SUSCEPTIBLE 0
31 929 886 INFECTED 1
32 545 40 SUSCEPTIBLE 0
33 888 335 SUSCEPTIBLE 0
34 177 757 SUSCEPTIBLE 0
35 86 125 INFECTED 1
36 597 541 SUSCEPTIBLE 0
37 400 359 SUSCEPTIBLE 0
38 733 610 SUSCEPTIBLE 0
39 216 765 SUSCEPTIBLE 0
40 806 726 SUSCEPTIBLE 0
41 780 410 SUSCEPTIBLE 0
42 168 69 SUSCEPTIBLE 0
43 912 158 SUSCEPTIBLE 0
44 700 398 SUSCEPTIBLE 0
45 757 687 SUSCEPTIBLE 0
46 298 110 SUSCEPTIBLE 0
47 875 850 SUSCEPTIBLE 0
48 297 680 INFECTED 1
49 91 900 SUSCEPTIBLE 0
50 969 155 SUSCEPTIBLE 0
51 313 849 INFECTED 1
52 248 934 SUSCEPTIBLE 0
53 622 944 SUSCEPTIBLE 0
54 773 529 INFECTED 1
55 99 588 SUSCEPTIBLE 0
56 987 25 INFECTED 1
57 925 949 SUSCEPTIBLE 0
58 105 165 INFECTED 1
59 15 331 INFECTED 1
60 267 143 INFECTED 1
61 806 82 SUSCEPTIBLE 0
62 611 841 SUSCEPTIBLE 0
63 149 875 SUSCEPTIBLE 0
64 900 21 INFECTED 1
65 970 712 SUSCEPTIBLE 0
66 877 659 SUSCEPTIBLE 0
67 991 241 SUSCEPTIBLE 0
68 103 740 SUSCEPTIBLE 0
69 542 117 SUSCEPTIBLE 0
70 677 314 SUSCEPTIBLE 0
71 191 131 SUSCEPTIBLE 0
72 870 901 SUSCEPTIBLE 0
73 333 81 INFECTED 1
74 740 8 SUSCEPTIBLE 0
75 249 855 INFECTED 1
76 316 579 SUSCEPTIBLE 0
77 415 627 SUSCEPTIBLE 0
78 942 754 SUSCEPTIBLE 0
79 885 606 SUSCEPTIBLE 0
80 508 583 SUSCEPTIBLE 0
81 664 675 SUSCEPTIBLE 0
82 683 752 SUSCEPTIBLE 0
83 328 288 SUSCEPTIBLE 0
84 867 143 INFECTED 1
85 770 672 SUSCEPTIBLE 0
86 427 736 INFECTED 1
87 62 231 INFECTED 1
88 814 826 INFECTED 1
89 502 62 SUSCEPTIBLE 0
90 815 182 SUSCEPTIBLE 0
91 470 719 SUSCEPTIBLE 0
92 862 448 INFECTED 1
93 839 874 INFECTED 1
94 331 790 SUSCEPTIBLE 0
95 22 527 SUSCEPTIBLE 0
96 74 254 SUSCEPTIBLE 0
97 36 79 SUSCEPTIBLE 0
98 980 197 INFECTED 1
99 917 940 INFECTED 1
100 108 7 SUSCEPTIBLE 0
101 600 77 SUSCEPTIBLE 0
102 867 392 SUSCEPTIBLE 0
103 638 166 SUSCEPTIBLE 0
104 140 919 SUSCEPTIBLE 0
105 717 928 INFECTED 1
106 845 180 INFECTED 1
107 121 98 INFECTED 1
108 105 273 SUSCEPTIBLE 0
109 350 269 SUSCEPTIBLE 0
110 661 839 INFECTED 1
111 6 428 INFECTED 1
112 348 460 INFECTED 1
113 108 506 INFECTED 1
114 686 635 SUSCEPTIBLE 0
115 452 856 SUSCEPTIBLE 0
116 848 90 INFECTED 1
117 359 59 SUSCEPTIBLE 0
118 898 400 SUSCEPTIBLE 0
119 828 210 INFECTED 1
120 389 530 SUSCEPTIBLE 0
121 38 167 SUSCEPTIBLE 0
122 522 764 SUSCEPTIBLE 0
123 340 726 SUSCEPTIBLE 0
124 816 235 INFECTED 1
125 13 961 SUSCEPTIBLE 0
126 81 831 INFECTED 1
127 42 25 INFECTED 1
128 556 926 SUSCEPTIBLE 0
129 95 976 SUSCEPTIBLE 0
130 460 9 INFECTED 1
131 736 844 SUSCEPTIBLE 0
132 798 534 INFECTED 1
133 496 240 SUSCEPTIBLE 0
134 72 978 INFECTED 1
135 4 451 INFECTED 1
136 379 72 SUSCEPTIBLE 0
137 767 350 SUSCEPTIBLE 0
138 359 122 SUSCEPTIBLE 0
139 686 177 SUSCEPTIBLE 0
140 711 693 SUSCEPTIBLE 0
141 933 740 SUSCEPTIBLE 0
142 438 150 SUSCEPTIBLE 0
143 602 544 INFECTED 1
144 616 35 SUSCEPTIBLE 0
145 104 704 SUSCEPTIBLE 0
146 826 519 SUSCEPTIBLE 0
147 415 523 SUSCEPTIBLE 0
148 217 17 SUSCEPTIBLE 0
149 476 717 INFECTED 1
150 867 436 SUSCEPTIBLE 0
151 980 519 SUSCEPTIBLE 0
152 273 65 SUSCEPTIBLE 0
153 769 471 SUSCEPTIBLE 0
154 709 714 SUSCEPTIBLE 0
155 238 548 INFECTED 1
156 565 183 INFECTED 1
157 619 640 SUSCEPTIBLE 0
158 795 474 SUSCEPTIBLE 0
159 993 849 SUSCEPTIBLE 0
160 914 233 INFECTED 1
161 424 362 INFECTED 1
162 795 550 SUSCEPTIBLE 0
163 100 388 INFECTED 1
164 290 690 SUSCEPTIBLE 0
165 50 542 SUSCEPTIBLE 0
166 17 795 SUSCEPTIBLE 0
167 364 874 SUSCEPTIBLE 0
168 108 800 SUSCEPTIBLE 0
169 882 124 INFECTED 1
170 674 802 SUSCEPTIBLE 0
171 909 78 SUSCEPTIBLE 0
172 768 25 INFECTED 1
173 568 666 SUSCEPTIBLE 0
174 463 164 SUSCEPTIBLE 0
175 39 471 SUSCEPTIBLE 0
176 991 667 INFECTED 1
177 510 941 SUSCEPTIBLE 0
178 744 423 SUSCEPTIBLE 0
179 502 558 INFECTED 1
180 303 123 INFECTED 1
181 790 350 SUSCEPTIBLE 0
182 233 649 SUSCEPTIBLE 0
183 121 784 SUSCEPTIBLE 0
184 171 695 SUSCEPTIBLE 0
185 638 979 SUSCEPTIBLE 0
186 122 985 SUSCEPTIBLE 0
187 264 51 INFECTED 1
188 174 581 SUSCEPTIBLE 0
189 931 53 SUSCEPTIBLE 0
190 421 177 INFECTED 1
191 961 734 SUSCEPTIBLE 0
192 150 83 SUSCEPTIBLE 0
193 781 122 SUSCEPTIBLE 0
194 827 804 SUSCEPTIBLE 0
195 855 301 INFECTED 1
196 882 536 INFECTED 1
197 308 91 SUSCEPTIBLE 0
198 268 575 SUSCEPTIBLE 0
199 29 368 INFECTED 1
200 451 336 INFECTED 1
201 177 734 INFECTED 1
202 539 542 SUSCEPTIBLE 0
203 843 194 SUSCEPTIBLE 0
204 730 17 INFECTED 1
205 826 677 INFECTED 1
206 253 763 SUSCEPTIBLE 0
207 132 845 SUSCEPTIBLE 0
208 182 306 INFECTED 1
209 41 549 SUSCEPTIBLE 0
210 92 618 SUSCEPTIBLE 0
211 813 997 SUSCEPTIBLE 0
212 734 641 SUSCEPTIBLE 0
213 320 74 INFECTED 1
214 556 139 INFECTED 1
215 984 195 INFECTED 1
216 220 404 INFECTED 1
217 673 767 SUSCEPTIBLE 0
218 386 413 SUSCEPTIBLE 0
219 130 521 INFECTED 1
220 882 486 SUSCEPTIBLE 0
221 561 522 INFECTED 1
222 661 228 SUSCEPTIBLE 0
223 142 675 SUSCEPTIBLE 0
224 799 654 INFECTED 1
225 422 59 SUSCEPTIBLE 0
226 472 816 INFECTED 1
227 339 349 SUSCEPTIBLE 0
228 836 52 SUSCEPTIBLE 0
229 293 795 SUSCEPTIBLE 0
230 24 918 SUSCEPTIBLE 0
231 313 12 SUSCEPTIBLE 0
232 667 308 INFECTED 1
233 368 264 SUSCEPTIBLE 0
234 799 223 SUSCEPTIBLE 0
235 291 507 INFECTED 1
236 278 380 SUSCEPTIBLE 0
237 177 200 INFECTED 1
238 837 7 INFECTED 1
239 737 53 SUSCEPTIBLE 0
240 362 570 SUSCEPTIBLE 0
241 553 427 SUSCEPTIBLE 0
242 369 610 SUSCEPTIBLE 0
243 118 730 SUSCEPTIBLE 0
244 111 36 SUSCEPTIBLE 0
245 954 653 SUSCEPTIBLE 0
246 379 15 SUSCEPTIBLE 0
247 68 927 SUSCEPTIBLE 0
248 499 613 SUSCEPTIBLE 0
249 42 327 SUSCEPTIBLE 0
250 937 776 SUSCEPTIBLE 0
251 507 582 SUSCEPTIBLE 0
252 618 578 SUSCEPTIBLE 0
253 232 835 SUSCEPTIBLE 0
254 569 747 SUSCEPTIBLE 0
255 676 410 INFECTED 1
256 743 105 SUSCEPTIBLE 0
257 432 949 INFECTED 1
258 726 427 SUSCEPTIBLE 0
259 10 754 SUSCEPTIBLE 0
260 52 916 SUSCEPTIBLE 0
261 471 443 SUSCEPTIBLE 0
262 909 65 SUSCEPTIBLE 0
263 195 904 SUSCEPTIBLE 0
264 10 586 INFECTED 1
265 255 796 INFECTED 1
266 224 834 SUSCEPTIBLE 0
267 589 225 SUSCEPTIBLE 0
268 143 939 SUSCEPTIBLE 0
269 102 261 SUSCEPTIBLE 0
270 45 773 SUSCEPTIBLE 0
271 397 519 SUSCEPTIBLE 0
272 824 778 SUSCEPTIBLE 0
273 576 540 SUSCEPTIBLE 0
274 375 715 SUSCEPTIBLE 0
275 659 55 INFECTED 1
276 995 688 SUSCEPTIBLE 0
277 668 231 INFECTED 1
278 723 149 SUSCEPTIBLE 0
279 387 728 SUSCEPTIBLE 0
280 507 536 SUSCEPTIBLE 0
281 77 510 SUSCEPTIBLE 0
282 226 78 INFECTED 1
283 133 898 SUSCEPTIBLE 0
284 306 264 SUSCEPTIBLE 0
285 214 776 SUSCEPTIBLE 0
286 644 239 INFECTED 1
287 967 25 SUSCEPTIBLE 0
288 561 692 SUSCEPTIBLE 0
289 921 321 SUSCEPTIBLE 0
290 399 102 SUSCEPTIBLE 0
291 719 599 SUSCEPTIBLE 0
292 582 47 SUSCEPTIBLE 0
293 543 568 SUSCEPTIBLE 0
294 807 231 SUSCEPTIBLE 0
295 974 621 SUSCEPTIBLE 0
296 34 126 SUSCEPTIBLE 0
297 167 580 SUSCEPTIBLE 0
298 682 15 INFECTED 1
299 614 919 SUSCEPTIBLE 0
300 966 589 SUSCEPTIBLE 0
301 158 166 SUSCEPTIBLE 0
302 116 77 SUSCEPTIBLE 0
303 417 308 SUSCEPTIBLE 0
304 154 118 SUSCEPTIBLE 0
305 698 388 SUSCEPTIBLE 0
306 403 145 SUSCEPTIBLE 0
307 65 371 SUSCEPTIBLE 0
308 679 365 INFECTED 1
309 250 118 SUSCEPTIBLE 0
310 913 859 SUSCEPTIBLE 0
311 887 680 SUSCEPTIBLE 0
312 798 785 SUSCEPTIBLE 0
313 174 688 INFECTED 1
314 833 539 SUSCEPTIBLE 0
315 629 404 SUSCEPTIBLE 0
316 769 69 SUSCEPTIBLE 0
317 905 546 SUSCEPTIBLE 0
318 407 0 INFECTED 1
319 399 528 INFECTED 1
320 314 856 SUSCEPTIBLE 0
321 545 450 SUSCEPTIBLE 0
322 989 973 SUSCEPTIBLE 0
323 97 804 SUSCEPTIBLE 0
324 873 235 SUSCEPTIBLE 0
325 500 148 INFECTED 1
326 149 345 INFECTED 1
327 873 415 SUSCEPTIBLE 0
328 272 599 INFECTED 1
329 50 57 SUSCEPTIBLE 0
330 749 72 INFECTED 1
331 877 465 SUSCEPTIBLE 0
332 700 758 INFECTED 1
333 906 725 SUSCEPTIBLE 0
334 71 189 SUSCEPTIBLE 0
335 604 228 SUSCEPTIBLE 0
336 546 687 SUSCEPTIBLE 0
337 463 489 SUSCEPTIBLE 0
338 561 173 SUSCEPTIBLE 0
339 639 214 SUSCEPTIBLE 0
340 691 599 SUSCEPTIBLE 0
341 325 528 SUSCEPTIBLE 0
342 717 573 SUSCEPTIBLE 0
343 520 634 SUSCEPTIBLE 0
344 41 771 INFECTED 1
345 261 178 SUSCEPTIBLE 0
346 71 219 INFECTED 1
347 433 330 SUSCEPTIBLE 0
348 648 906 SUSCEPTIBLE 0
349 435 693 SUSCEPTIBLE 0
350 268 871 SUSCEPTIBLE 0
351 506 551 INFECTED 1
352 42 678 SUSCEPTIBLE 0
353 576 928 SUSCEPTIBLE 0
354 148 266 INFECTED 1
