id x y status inf_cout
1 21 65 INFECTED 45
2 62 56 INFECTED 42
3 22 94 SUSCEPTIBLE 43
4 49 75 INFECTED 45
5 79 44 IMMUNE 44
6 19 92 INFECTED 44
7 4 83 INFECTED 45
8 83 43 INFECTED 44
9 69 56 INFECTED 45
10 76 35 IMMUNE 44
11 26 17 INFECTED 44
12 76 101 INFECTED 41
13 29 12 INFECTED 46
14 78 7 SUSCEPTIBLE 40
15 47 44 IMMUNE 43
16 23 69 IMMUNE 43
17 69 56 INFECTED 44
18 91 32 SUSCEPTIBLE 45
19 56 9 INFECTED 45
20 100 85 INFECTED 45
21 5 106 SUSCEPTIBLE 43
22 75 23 SUSCEPTIBLE 43
23 98 20 INFECTED 46
24 80 83 INFECTED 44
25 102 68 INFECTED 44
26 33 93 INFECTED 43
27 62 46 IMMUNE 43
28 101 38 INFECTED 40
29 79 100 INFECTED 45
30 32 13 INFECTED 43
31 30 25 INFECTED 44
32 47 106 IMMUNE 45
33 75 46 SUSCEPTIBLE 43
34 39 68 SUSCEPTIBLE 44
35 54 60 IMMUNE 44
36 58 4 SUSCEPTIBLE 42
37 70 25 INFECTED 43
38 62 33 INFECTED 43
39 46 42 INFECTED 44
40 48 21 IMMUNE 42
41 7 3 INFECTED 44
42 100 70 INFECTED 44
43 89 94 INFECTED 44
44 13 8 INFECTED 46
45 6 47 INFECTED 44
46 49 15 IMMUNE 42
47 1 53 SUSCEPTIBLE 46
48 53 16 IMMUNE 43
49 18 85 IMMUNE 45
50 29 97 INFECTED 44
51 76 39 INFECTED 45
52 6 98 IMMUNE 45
53 5 32 INFECTED 45
54 9 77 INFECTED 45
55 30 1 IMMUNE 44
56 35 83 INFECTED 45
57 18 14 IMMUNE 44
58 36 43 INFECTED 43
59 66 68 SUSCEPTIBLE 41
60 29 72 SUSCEPTIBLE 44
61 52 49 INFECTED 46
62 72 88 INFECTED 41
63 9 101 INFECTED 44
64 95 61 INFECTED 44
65 36 87 INFECTED 44
66 87 89 INFECTED 44
67 41 55 INFECTED 42
68 53 87 INFECTED 45
69 23 17 IMMUNE 45
70 49 25 INFECTED 46
71 54 63 SUSCEPTIBLE 44
72 1 42 INFECTED 44
73 77 54 INFECTED 44
74 70 77 SUSCEPTIBLE 42
75 38 79 INFECTED 46
76 99 60 INFECTED 45
77 57 81 SUSCEPTIBLE 42
78 65 23 INFECTED 43
79 33 73 IMMUNE 41
80 3 41 INFECTED 43
81 52 79 INFECTED 45
82 6 9 INFECTED 43
83 60 10 IMMUNE 45
84 31 13 INFECTED 44
85 13 93 IMMUNE 44
86 34 102 INFECTED 44
87 26 78 SUSCEPTIBLE 39
88 89 70 INFECTED 42
89 97 65 INFECTED 44
90 17 83 INFECTED 45
91 102 45 SUSCEPTIBLE 45
92 88 80 INFECTED 45
93 82 17 INFECTED 45
94 92 100 INFECTED 45
95 32 37 INFECTED 45
96 59 84 INFECTED 44
97 65 14 IMMUNE 42
98 24 68 INFECTED 44
99 34 60 IMMUNE 41
100 82 105 INFECTED 42
101 97 16 INFECTED 41
102 16 95 INFECTED 41
103 48 6 IMMUNE 43
104 28 90 SUSCEPTIBLE 43
105 37 87 IMMUNE 43
106 70 30 SUSCEPTIBLE 42
107 68 69 INFECTED 45
108 67 103 INFECTED 43
109 13 68 INFECTED 44
110 58 53 INFECTED 42
111 84 62 INFECTED 45
112 54 54 SUSCEPTIBLE 41
113 17 34 INFECTED 42
114 0 14 INFECTED 41
115 9 79 INFECTED 44
116 91 99 INFECTED 45
117 75 39 INFECTED 44
118 24 71 INFECTED 43
119 58 96 INFECTED 45
120 62 84 INFECTED 42
121 83 89 INFECTED 45
122 76 35 INFECTED 43
123 59 74 IMMUNE 45
124 105 62 INFECTED 43
125 61 81 INFECTED 43
126 65 98 SUSCEPTIBLE 45
127 88 101 INFECTED 45
128 94 49 INFECTED 44
129 95 1 IMMUNE 44
130 91 104 INFECTED 41
131 1 82 SUSCEPTIBLE 44
132 92 48 SUSCEPTIBLE 45
133 4 24 IMMUNE 43
134 86 68 INFECTED 43
135 104 34 IMMUNE 42
136 29 107 SUSCEPTIBLE 42
137 58 75 INFECTED 42
138 73 56 SUSCEPTIBLE 42
139 4 23 INFECTED 45
140 70 76 IMMUNE 44
141 65 86 SUSCEPTIBLE 44
142 107 33 IMMUNE 43
143 96 10 SUSCEPTIBLE 45
144 80 90 SUSCEPTIBLE 41
145 34 95 INFECTED 43
146 47 59 INFECTED 43
147 67 35 SUSCEPTIBLE 42
148 70 17 INFECTED 42
149 68 43 INFECTED 45
150 38 12 INFECTED 45
151 63 7 SUSCEPTIBLE 45
152 82 50 INFECTED 42
153 29 46 INFECTED 40
154 29 25 INFECTED 43
155 45 62 INFECTED 43
156 62 54 INFECTED 44
157 44 72 INFECTED 44
158 35 83 INFECTED 43
159 95 22 INFECTED 43
160 86 20 INFECTED 42
161 68 47 INFECTED 42
162 33 9 SUSCEPTIBLE 43
163 21 95 INFECTED 43
164 15 94 SUSCEPTIBLE 43
165 94 49 INFECTED 44
166 14 51 SUSCEPTIBLE 43
167 74 5 INFECTED 45
168 12 52 INFECTED 44
169 5 25 INFECTED 43
170 92 43 INFECTED 41
171 63 93 INFECTED 43
172 24 48 IMMUNE 45
173 38 76 SUSCEPTIBLE 43
174 84 0 IMMUNE 46
175 88 82 SUSCEPTIBLE 42
176 32 47 INFECTED 41
177 52 100 SUSCEPTIBLE 43
178 83 101 INFECTED 45
179 15 10 SUSCEPTIBLE 43
180 64 62 INFECTED 46
181 79 67 INFECTED 42
182 92 106 INFECTED 44
183 65 93 SUSCEPTIBLE 45
184 25 79 INFECTED 44
185 30 100 INFECTED 45
186 34 71 SUSCEPTIBLE 44
187 32 74 IMMUNE 42
188 72 16 IMMUNE 42
189 67 91 INFECTED 45
190 22 17 INFECTED 41
191 74 100 INFECTED 46
192 21 50 INFECTED 45
193 29 94 IMMUNE 44
194 67 61 IMMUNE 44
195 76 96 INFECTED 44
196 3 50 SUSCEPTIBLE 43
197 18 83 INFECTED 44
198 56 76 IMMUNE 44
199 69 41 INFECTED 45
200 13 87 IMMUNE 46
201 67 34 INFECTED 44
202 39 79 INFECTED 46
203 29 103 IMMUNE 40
204 107 4 INFECTED 44
205 33 83 INFECTED 45
206 52 20 INFECTED 41
207 9 47 INFECTED 42
208 54 47 SUSCEPTIBLE 42
209 100 20 INFECTED 43
210 13 94 INFECTED 45
211 14 82 INFECTED 46
212 96 52 SUSCEPTIBLE 42
213 30 29 IMMUNE 45
214 69 39 INFECTED 44
215 24 18 INFECTED 46
216 17 46 INFECTED 45
217 23 42 SUSCEPTIBLE 41
218 78 57 INFECTED 46
219 103 21 INFECTED 42
220 15 70 SUSCEPTIBLE 44
221 25 80 SUSCEPTIBLE 44
222 72 27 INFECTED 39
223 99 35 SUSCEPTIBLE 42
224 19 86 SUSCEPTIBLE 42
225 65 20 IMMUNE 42
226 45 103 SUSCEPTIBLE 45
227 88 34 INFECTED 46
228 84 55 SUSCEPTIBLE 45
229 29 56 INFECTED 44
230 45 33 INFECTED 44
231 8 94 SUSCEPTIBLE 42
232 25 26 INFECTED 46
233 107 37 INFECTED 41
234 67 27 INFECTED 42
235 83 63 INFECTED 44
236 81 31 SUSCEPTIBLE 45
237 0 6 IMMUNE 40
238 81 62 SUSCEPTIBLE 42
239 8 16 INFECTED 44
240 104 30 INFECTED 42
241 52 79 IMMUNE 43
242 82 35 INFECTED 47
243 63 22 INFECTED 46
244 13 108 IMMUNE 45
245 88 33 INFECTED 46
246 38 51 INFECTED 43
247 8 92 SUSCEPTIBLE 45
248 27 106 INFECTED 45
249 63 54 INFECTED 46
250 9 70 IMMUNE 45
251 27 90 SUSCEPTIBLE 41
252 91 108 IMMUNE 42
253 60 46 INFECTED 45
254 103 15 INFECTED 42
255 107 4 INFECTED 42
256 100 95 IMMUNE 44
257 26 59 IMMUNE 44
258 12 18 INFECTED 44
259 41 107 INFECTED 43
260 11 45 INFECTED 43
261 1 30 IMMUNE 43
262 63 41 INFECTED 46
263 10 65 INFECTED 44
264 17 61 SUSCEPTIBLE 44
265 13 44 INFECTED 45
266 29 92 INFECTED 44
267 38 34 SUSCEPTIBLE 39
268 6 86 INFECTED 45
269 1 9 INFECTED 43
270 21 83 INFECTED 43
271 12 30 INFECTED 42
272 99 89 INFECTED 44
273 2 103 SUSCEPTIBLE 43
274 78 95 INFECTED 43
275 3 60 INFECTED 44
276 57 69 INFECTED 46
277 8 87 INFECTED 46
278 67 91 SUSCEPTIBLE 44
279 25 95 INFECTED 41
280 88 65 INFECTED 45
281 44 19 INFECTED 45
282 66 65 INFECTED 45
283 14 68 INFECTED 45
284 77 13 INFECTED 46
285 25 8 IMMUNE 46
286 51 88 SUSCEPTIBLE 43
287 91 37 INFECTED 44
288 42 92 IMMUNE 43
289 13 0 INFECTED 40
290 38 52 INFECTED 46
291 26 93 INFECTED 47
292 94 34 SUSCEPTIBLE 44
293 87 5 SUSCEPTIBLE 44
294 2 19 INFECTED 44
295 13 19 SUSCEPTIBLE 41
296 106 41 INFECTED 43
297 19 81 INFECTED 44
298 107 86 IMMUNE 41
299 100 87 INFECTED 44
300 31 12 INFECTED 44
301 10 17 INFECTED 43
302 72 58 INFECTED 42
303 85 57 SUSCEPTIBLE 44
304 36 87 INFECTED 41
305 79 59 INFECTED 43
306 11 98 INFECTED 44
307 7 17 INFECTED 43
308 3 7 INFECTED 46
309 24 105 SUSCEPTIBLE 43
310 22 108 INFECTED 43
311 84 44 INFECTED 44
312 78 55 IMMUNE 44
313 20 41 INFECTED 44
314 82 67 INFECTED 45
315 9 60 IMMUNE 42
316 38 93 INFECTED 42
317 69 3 INFECTED 46
318 33 54 INFECTED 45
319 2 32 INFECTED 44
320 101 104 SUSCEPTIBLE 43
321 37 78 INFECTED 45
322 84 9 IMMUNE 46
323 41 14 IMMUNE 42
324 104 92 INFECTED 46
325 12 45 INFECTED 44
326 46 44 INFECTED 44
327 33 89 IMMUNE 43
328 90 95 INFECTED 44
329 20 31 INFECTED 43
330 63 100 INFECTED 45
331 101 20 INFECTED 47
332 12 48 INFECTED 44
333 23 6 INFECTED 43
334 7 46 INFECTED 45
335 102 24 IMMUNE 44
336 100 87 INFECTED 44
337 0 23 INFECTED 45
338 87 46 SUSCEPTIBLE 46
339 53 57 INFECTED 44
340 66 94 INFECTED 44
341 24 92 INFECTED 44
342 73 60 INFECTED 45
343 103 74 INFECTED 44
344 61 89 INFECTED 46
345 44 72 INFECTED 45
346 14 91 IMMUNE 44
347 17 50 SUSCEPTIBLE 41
348 20 16 INFECTED 42
349 81 94 IMMUNE 45
350 6 107 INFECTED 44
351 83 37 INFECTED 43
