id x y status inf_cout
1 4 1 IMMUNE 20
2 2 7 INFECTED 19
3 4 4 INFECTED 19
4 0 5 IMMUNE 19
5 4 5 INFECTED 19
6 6 2 INFECTED 19
7 6 3 SUSCEPTIBLE 18
8 4 8 IMMUNE 19
9 0 1 SUSCEPTIBLE 18
10 4 8 IMMUNE 19
11 6 8 INFECTED 19
12 4 7 SUSCEPTIBLE 18
13 6 7 INFECTED 19
14 0 1 INFECTED 19
15 0 0 IMMUNE 18
16 5 5 INFECTED 20
17 3 2 INFECTED 20
18 1 3 INFECTED 19
19 8 3 INFECTED 19
20 3 7 INFECTED 20
21 2 0 INFECTED 19
22 2 8 INFECTED 19
23 5 5 INFECTED 19
24 8 5 INFECTED 19
25 8 6 SUSCEPTIBLE 19
26 5 2 INFECTED 20
27 5 2 INFECTED 20
28 4 9 SUSCEPTIBLE 19
29 7 7 INFECTED 19
30 2 8 INFECTED 20
31 1 1 INFECTED 19
32 2 6 INFECTED 19
33 4 4 INFECTED 19
34 6 8 SUSCEPTIBLE 19
35 1 7 IMMUNE 19
36 9 1 INFECTED 20
37 7 5 INFECTED 19
38 4 5 INFECTED 19
39 6 1 SUSCEPTIBLE 19
40 3 4 IMMUNE 18
41 4 2 INFECTED 20
42 3 2 IMMUNE 18
43 3 8 SUSCEPTIBLE 18
44 4 7 INFECTED 19
45 6 1 SUSCEPTIBLE 18
46 4 9 SUSCEPTIBLE 19
47 0 4 SUSCEPTIBLE 18
48 2 0 INFECTED 20
49 9 5 IMMUNE 19
50 7 1 INFECTED 20
51 8 2 INFECTED 20
52 8 7 INFECTED 19
53 4 3 IMMUNE 19
54 2 1 INFECTED 20
55 5 8 SUSCEPTIBLE 19
56 3 1 SUSCEPTIBLE 19
57 3 4 SUSCEPTIBLE 18
58 3 3 INFECTED 19
59 7 3 SUSCEPTIBLE 19
60 5 5 INFECTED 20
61 7 1 SUSCEPTIBLE 18
62 2 4 INFECTED 20
63 6 6 IMMUNE 18
64 6 4 SUSCEPTIBLE 18
65 8 6 INFECTED 19
66 6 2 SUSCEPTIBLE 19
67 7 3 SUSCEPTIBLE 18
68 7 6 INFECTED 19
69 4 1 SUSCEPTIBLE 18
70 1 8 INFECTED 19
71 7 5 INFECTED 19
72 0 8 SUSCEPTIBLE 18
73 2 5 INFECTED 20
74 3 4 INFECTED 20
75 2 8 INFECTED 20
76 9 8 INFECTED 20
77 7 6 INFECTED 19
78 8 4 INFECTED 19
79 1 0 INFECTED 19
80 4 5 INFECTED 19
81 5 4 SUSCEPTIBLE 18
82 7 0 INFECTED 19
83 6 9 INFECTED 18
84 7 2 IMMUNE 19
85 2 4 IMMUNE 20
86 6 6 IMMUNE 18
87 4 2 INFECTED 20
88 8 3 SUSCEPTIBLE 19
89 6 3 SUSCEPTIBLE 18
90 3 5 IMMUNE 19
91 4 0 INFECTED 19
92 2 4 INFECTED 20
93 3 1 INFECTED 20
94 5 5 INFECTED 19
95 5 3 INFECTED 19
96 5 2 INFECTED 20
97 3 1 INFECTED 20
98 0 2 INFECTED 20
99 2 3 IMMUNE 18
100 1 4 SUSCEPTIBLE 18
101 1 1 INFECTED 19
102 4 8 INFECTED 19
103 3 4 SUSCEPTIBLE 18
104 7 1 INFECTED 19
105 8 2 INFECTED 19
106 6 6 INFECTED 19
107 1 5 INFECTED 19
108 5 4 SUSCEPTIBLE 18
109 4 8 INFECTED 19
110 8 5 INFECTED 20
111 5 1 INFECTED 19
112 6 0 INFECTED 20
113 4 7 INFECTED 19
114 2 7 INFECTED 19
115 6 7 INFECTED 19
116 7 6 INFECTED 19
117 5 7 SUSCEPTIBLE 18
118 6 6 IMMUNE 17
119 5 8 SUSCEPTIBLE 18
120 4 3 INFECTED 19
121 2 3 INFECTED 19
122 4 8 INFECTED 19
123 2 4 INFECTED 20
124 1 7 INFECTED 20
125 7 7 INFECTED 19
126 5 6 IMMUNE 18
127 1 3 IMMUNE 19
128 4 8 SUSCEPTIBLE 19
129 2 8 INFECTED 19
130 1 7 INFECTED 20
131 5 2 INFECTED 20
132 8 7 INFECTED 20
133 8 2 INFECTED 19
134 1 8 IMMUNE 19
135 5 6 INFECTED 20
136 8 7 INFECTED 19
137 2 3 INFECTED 19
138 8 8 IMMUNE 19
139 0 2 SUSCEPTIBLE 18
140 1 5 INFECTED 19
141 3 2 INFECTED 20
142 8 3 INFECTED 19
143 0 0 INFECTED 20
144 7 6 INFECTED 19
145 8 1 SUSCEPTIBLE 19
146 3 2 INFECTED 20
147 8 8 INFECTED 19
148 2 4 INFECTED 20
149 7 2 INFECTED 19
150 1 5 IMMUNE 19
151 3 8 SUSCEPTIBLE 19
152 5 8 SUSCEPTIBLE 18
153 5 4 SUSCEPTIBLE 18
154 2 7 INFECTED 19
155 4 6 INFECTED 19
156 8 0 IMMUNE 19
157 7 5 INFECTED 19
158 4 6 IMMUNE 19
159 5 3 INFECTED 19
160 1 5 INFECTED 19
161 3 0 SUSCEPTIBLE 18
162 5 6 INFECTED 20
163 7 6 INFECTED 19
164 6 2 INFECTED 20
165 3 8 SUSCEPTIBLE 18
166 6 5 INFECTED 18
167 4 8 IMMUNE 19
168 4 0 INFECTED 20
169 2 4 IMMUNE 19
170 1 1 INFECTED 19
171 1 2 INFECTED 20
172 4 7 IMMUNE 18
173 3 0 IMMUNE 19
174 2 6 IMMUNE 18
175 7 7 INFECTED 20
176 6 0 INFECTED 19
177 6 3 SUSCEPTIBLE 18
178 7 8 SUSCEPTIBLE 19
179 8 8 INFECTED 19
180 2 7 INFECTED 19
181 2 1 INFECTED 20
182 5 1 INFECTED 20
183 5 3 INFECTED 19
184 5 2 INFECTED 20
185 7 4 SUSCEPTIBLE 18
186 3 4 INFECTED 20
187 2 2 IMMUNE 19
188 3 2 INFECTED 20
189 1 1 IMMUNE 19
190 7 0 SUSCEPTIBLE 19
191 2 0 INFECTED 19
192 0 6 IMMUNE 18
193 6 2 INFECTED 19
194 0 2 INFECTED 20
195 4 4 INFECTED 19
196 8 6 INFECTED 19
197 1 6 IMMUNE 18
198 1 0 IMMUNE 19
199 0 0 IMMUNE 18
200 8 1 SUSCEPTIBLE 18
