id x y status inf_cout
1 32 103 INFECTED 51
2 66 1 INFECTED 51
3 53 145 INFECTED 52
4 66 41 INFECTED 52
5 53 110 INFECTED 53
6 44 135 INFECTED 53
7 48 6 SUSCEPTIBLE 51
8 14 8 IMMUNE 53
9 41 6 INFECTED 53
10 24 79 INFECTED 52
11 10 25 INFECTED 52
12 27 76 INFECTED 56
13 4 72 INFECTED 53
14 61 67 INFECTED 52
15 33 147 INFECTED 53
16 24 90 INFECTED 53
17 67 42 INFECTED 52
18 30 109 INFECTED 53
19 57 79 INFECTED 53
20 76 86 INFECTED 54
21 91 5 SUSCEPTIBLE 52
22 7 73 SUSCEPTIBLE 51
23 19 72 INFECTED 54
24 97 125 INFECTED 53
25 17 106 SUSCEPTIBLE 53
26 98 46 INFECTED 52
27 30 111 INFECTED 52
28 59 128 INFECTED 51
29 85 48 SUSCEPTIBLE 53
30 38 98 INFECTED 53
31 40 65 INFECTED 53
32 51 2 INFECTED 53
33 38 99 INFECTED 53
34 45 100 SUSCEPTIBLE 52
35 42 17 INFECTED 52
36 40 48 INFECTED 51
37 92 97 IMMUNE 52
38 79 132 INFECTED 52
39 30 94 INFECTED 52
40 76 142 INFECTED 53
41 8 44 SUSCEPTIBLE 50
42 4 101 INFECTED 52
43 24 47 INFECTED 52
44 72 14 INFECTED 53
45 5 104 INFECTED 52
46 70 111 IMMUNE 51
47 35 83 INFECTED 51
48 84 84 INFECTED 53
49 17 25 SUSCEPTIBLE 52
50 36 129 INFECTED 52
51 98 65 INFECTED 53
52 36 107 SUSCEPTIBLE 53
53 55 135 INFECTED 53
54 58 3 INFECTED 52
55 31 38 INFECTED 53
56 12 96 INFECTED 53
57 46 75 SUSCEPTIBLE 52
58 69 100 INFECTED 53
59 40 142 INFECTED 52
60 27 134 INFECTED 53
61 33 99 INFECTED 52
62 72 82 INFECTED 53
63 85 143 INFECTED 53
64 58 34 INFECTED 52
65 92 28 INFECTED 53
66 80 125 IMMUNE 52
67 9 25 INFECTED 51
68 28 65 INFECTED 52
69 84 81 INFECTED 53
70 35 16 INFECTED 52
71 19 16 INFECTED 53
72 15 79 INFECTED 54
73 72 33 INFECTED 53
74 91 2 INFECTED 52
75 84 53 INFECTED 54
76 84 19 IMMUNE 51
77 11 75 SUSCEPTIBLE 51
78 28 10 INFECTED 53
79 42 103 INFECTED 53
80 0 29 INFECTED 52
81 16 129 INFECTED 52
82 45 36 INFECTED 52
83 25 6 INFECTED 55
84 97 126 INFECTED 53
85 3 142 SUSCEPTIBLE 53
86 67 100 INFECTED 54
87 64 6 INFECTED 52
88 84 113 INFECTED 54
89 62 126 INFECTED 53
90 32 72 INFECTED 54
91 63 31 INFECTED 51
92 55 148 INFECTED 53
93 81 72 INFECTED 52
94 68 91 INFECTED 51
95 48 90 INFECTED 53
96 38 68 INFECTED 53
97 47 139 INFECTED 51
98 73 10 IMMUNE 52
99 70 67 SUSCEPTIBLE 51
100 29 71 INFECTED 51
101 43 11 INFECTED 52
102 49 118 INFECTED 52
103 59 5 INFECTED 52
104 16 1 INFECTED 53
105 96 62 IMMUNE 52
106 17 105 IMMUNE 51
107 11 89 INFECTED 52
108 20 127 INFECTED 52
109 37 60 INFECTED 53
110 14 101 INFECTED 50
111 96 139 SUSCEPTIBLE 51
112 10 47 INFECTED 54
113 70 121 INFECTED 52
114 53 45 INFECTED 53
115 46 15 INFECTED 51
116 57 24 SUSCEPTIBLE 52
117 75 43 INFECTED 53
118 59 20 INFECTED 52
119 1 63 INFECTED 54
120 68 44 IMMUNE 52
121 79 127 INFECTED 52
122 23 82 INFECTED 51
123 84 24 INFECTED 53
124 60 146 INFECTED 53
125 58 72 INFECTED 51
126 76 64 INFECTED 53
127 86 27 SUSCEPTIBLE 52
128 95 34 INFECTED 51
129 13 61 SUSCEPTIBLE 52
130 83 142 INFECTED 54
131 85 113 SUSCEPTIBLE 53
132 8 112 INFECTED 52
