id x y status inf_cout
1 14 15 INFECTED 2
2 7 25 INFECTED 2
3 15 15 INFECTED 2
4 2 27 INFECTED 2
5 11 35 INFECTED 2
6 7 33 INFECTED 2
7 7 5 INFECTED 2
8 4 13 INFECTED 2
9 16 5 INFECTED 2
10 13 15 INFECTED 2
11 10 34 INFECTED 2
12 12 29 INFECTED 2
13 6 11 INFECTED 2
14 18 31 INFECTED 2
15 5 39 INFECTED 2
16 13 31 INFECTED 2
17 11 9 INFECTED 2
18 10 18 INFECTED 2
19 8 27 INFECTED 2
20 1 34 INFECTED 2
21 18 30 INFECTED 2
22 1 24 INFECTED 2
23 2 17 INFECTED 2
24 10 4 INFECTED 2
25 17 9 INFECTED 2
26 1 5 INFECTED 2
27 6 28 INFECTED 2
28 9 35 INFECTED 2
29 7 12 INFECTED 2
30 10 32 INFECTED 2
31 18 3 INFECTED 2
32 14 35 INFECTED 2
33 12 1 INFECTED 2
34 0 30 INFECTED 2
35 10 4 INFECTED 2
36 5 18 INFECTED 2
37 1 0 INFECTED 2
38 2 3 INFECTED 2
39 3 38 INFECTED 2
40 4 4 INFECTED 2
41 10 5 INFECTED 2
42 4 24 INFECTED 2
43 7 10 INFECTED 2
44 1 6 INFECTED 2
45 18 39 INFECTED 2
46 18 29 INFECTED 2
47 1 8 INFECTED 2
48 11 36 INFECTED 2
49 10 11 INFECTED 2
50 11 29 INFECTED 2
51 8 4 INFECTED 2
52 15 27 INFECTED 2
53 13 13 INFECTED 2
54 13 2 INFECTED 2
55 0 26 INFECTED 2
56 16 12 INFECTED 2
57 10 21 INFECTED 2
58 8 18 INFECTED 2
59 17 11 INFECTED 2
60 13 38 INFECTED 2
61 11 18 INFECTED 2
62 13 34 INFECTED 2
63 18 33 INFECTED 2
64 7 7 INFECTED 2
65 11 31 INFECTED 2
66 15 23 INFECTED 2
67 0 6 INFECTED 2
68 2 37 INFECTED 2
69 6 15 INFECTED 2
70 5 35 INFECTED 2
71 2 32 INFECTED 2
72 12 4 INFECTED 2
73 14 1 INFECTED 2
74 7 26 INFECTED 2
75 10 38 INFECTED 2
76 0 6 INFECTED 2
77 0 26 INFECTED 2
78 10 8 INFECTED 2
79 0 15 INFECTED 2
80 16 38 INFECTED 2
81 0 5 INFECTED 2
82 6 9 INFECTED 2
83 1 10 INFECTED 2
84 18 11 INFECTED 2
85 18 15 INFECTED 2
86 16 6 INFECTED 2
87 12 26 INFECTED 2
88 9 5 INFECTED 2
89 12 9 INFECTED 2
90 2 21 INFECTED 2
91 10 0 INFECTED 2
92 14 14 INFECTED 2
93 14 23 INFECTED 2
94 0 4 INFECTED 2
95 11 14 INFECTED 2
96 13 26 INFECTED 2
97 12 25 INFECTED 2
98 14 29 INFECTED 2
99 2 34 INFECTED 2
100 16 6 INFECTED 2
101 6 28 INFECTED 2
102 0 19 INFECTED 2
103 18 35 INFECTED 2
104 8 20 INFECTED 2
105 16 8 INFECTED 2
106 0 20 INFECTED 2
107 5 5 INFECTED 2
108 18 37 INFECTED 2
109 6 16 INFECTED 2
110 9 24 INFECTED 2
111 13 38 INFECTED 2
112 13 18 INFECTED 2
113 10 12 INFECTED 2
114 17 36 INFECTED 2
115 12 15 INFECTED 2
116 3 21 INFECTED 2
117 18 3 INFECTED 2
118 5 26 INFECTED 2
119 11 22 INFECTED 2
120 18 32 INFECTED 2
121 14 3 INFECTED 2
122 1 33 INFECTED 2
123 18 1 INFECTED 2
124 9 24 INFECTED 2
125 14 3 INFECTED 2
126 6 1 INFECTED 2
127 2 23 INFECTED 2
128 1 28 INFECTED 2
129 5 36 INFECTED 2
130 9 16 INFECTED 2
131 9 18 INFECTED 2
132 2 34 INFECTED 2
133 2 18 INFECTED 2
134 16 27 INFECTED 2
135 9 39 INFECTED 2
136 15 26 INFECTED 2
137 1 5 INFECTED 2
138 6 26 INFECTED 2
139 14 12 INFECTED 2
140 13 8 INFECTED 2
141 10 20 INFECTED 2
142 16 31 INFECTED 2
143 11 10 INFECTED 2
144 17 23 INFECTED 2
145 17 26 INFECTED 2
146 4 32 INFECTED 2
147 16 9 INFECTED 2
148 5 11 INFECTED 2
149 18 16 INFECTED 2
150 5 8 INFECTED 2
151 5 8 INFECTED 2
152 6 5 INFECTED 2
153 1 38 INFECTED 2
154 4 16 INFECTED 2
155 17 22 INFECTED 2
156 6 29 INFECTED 2
157 7 5 INFECTED 2
158 11 31 INFECTED 2
159 11 16 INFECTED 2
160 11 23 INFECTED 2
161 1 20 INFECTED 2
162 1 7 INFECTED 2
163 2 13 INFECTED 2
164 16 36 INFECTED 2
165 8 20 INFECTED 2
166 15 9 INFECTED 2
167 7 4 INFECTED 2
168 7 8 INFECTED 2
169 0 38 INFECTED 2
170 3 6 INFECTED 2
171 12 25 INFECTED 2
172 12 21 INFECTED 2
173 11 11 INFECTED 2
174 18 37 INFECTED 2
175 9 21 INFECTED 2
176 14 20 INFECTED 2
177 17 24 INFECTED 2
178 16 2 INFECTED 2
179 15 36 INFECTED 2
180 15 21 INFECTED 2
181 12 2 INFECTED 2
182 13 15 INFECTED 2
183 19 8 INFECTED 2
184 7 27 INFECTED 2
185 8 7 INFECTED 2
186 6 29 INFECTED 2
187 7 4 INFECTED 2
188 10 37 INFECTED 2
189 18 1 INFECTED 2
190 1 32 INFECTED 2
191 8 27 INFECTED 2
192 4 14 INFECTED 2
193 12 26 INFECTED 2
194 4 28 INFECTED 2
195 19 31 INFECTED 2
196 1 4 INFECTED 2
197 3 38 INFECTED 2
198 1 18 INFECTED 2
199 4 16 INFECTED 2
200 4 30 INFECTED 2
201 11 21 INFECTED 2
202 16 10 INFECTED 2
203 2 13 INFECTED 2
204 5 11 INFECTED 2
205 12 36 INFECTED 2
206 14 17 INFECTED 2
207 7 9 INFECTED 2
208 4 33 INFECTED 2
209 11 30 INFECTED 2
210 13 29 INFECTED 2
211 0 22 INFECTED 2
212 8 31 INFECTED 2
213 5 8 INFECTED 2
214 5 9 INFECTED 2
215 1 38 INFECTED 2
216 10 10 INFECTED 2
217 4 18 INFECTED 2
218 5 5 INFECTED 2
219 6 9 INFECTED 2
220 1 8 INFECTED 2
221 5 24 INFECTED 2
222 8 2 INFECTED 2
223 8 18 INFECTED 2
224 4 17 INFECTED 2
225 10 31 INFECTED 2
226 3 28 INFECTED 2
227 18 10 INFECTED 2
228 9 2 INFECTED 2
229 15 25 INFECTED 2
230 14 29 INFECTED 2
231 9 5 INFECTED 2
232 12 12 INFECTED 2
233 11 34 INFECTED 2
234 11 29 INFECTED 2
235 7 17 INFECTED 2
236 4 31 INFECTED 2
237 13 29 INFECTED 2
238 14 37 INFECTED 2
239 19 1 INFECTED 2
240 2 20 INFECTED 2
241 17 2 INFECTED 2
242 17 15 INFECTED 2
243 3 23 INFECTED 2
244 1 19 INFECTED 2
245 4 16 INFECTED 2
246 16 18 INFECTED 2
247 5 13 INFECTED 2
248 11 18 INFECTED 2
249 14 12 INFECTED 2
250 4 18 INFECTED 2
251 12 30 INFECTED 2
252 17 29 INFECTED 2
253 8 18 INFECTED 2
254 11 16 INFECTED 2
255 15 9 INFECTED 2
256 4 4 INFECTED 2
257 16 4 INFECTED 2
258 9 18 INFECTED 2
259 7 5 INFECTED 2
260 2 4 INFECTED 2
261 11 34 INFECTED 2
262 7 5 INFECTED 2
263 14 29 INFECTED 2
264 12 32 INFECTED 2
265 15 11 INFECTED 2
266 7 36 INFECTED 2
267 18 6 INFECTED 2
268 2 7 INFECTED 2
269 17 5 INFECTED 2
270 17 23 INFECTED 2
271 3 4 INFECTED 2
272 14 7 INFECTED 2
273 13 15 INFECTED 2
274 17 9 INFECTED 2
275 8 19 INFECTED 2
276 1 9 INFECTED 2
277 13 3 INFECTED 2
278 10 9 INFECTED 2
279 9 9 INFECTED 2
280 16 36 INFECTED 2
281 7 7 INFECTED 2
282 14 26 INFECTED 2
283 10 31 INFECTED 2
284 2 16 INFECTED 2
285 16 28 INFECTED 2
286 9 2 INFECTED 2
287 16 26 INFECTED 2
288 3 28 INFECTED 2
289 11 32 INFECTED 2
290 10 13 INFECTED 2
291 12 10 INFECTED 2
292 7 19 INFECTED 2
293 5 34 INFECTED 2
294 11 16 INFECTED 2
295 9 19 INFECTED 2
296 17 24 INFECTED 2
297 4 6 INFECTED 2
298 18 21 INFECTED 2
299 3 33 INFECTED 2
300 9 7 INFECTED 2
301 4 19 INFECTED 2
302 13 10 INFECTED 2
303 6 22 INFECTED 2
304 6 16 INFECTED 2
305 9 14 INFECTED 2
306 15 21 INFECTED 2
307 2 11 INFECTED 2
308 16 10 INFECTED 2
309 10 7 INFECTED 2
310 3 8 INFECTED 2
311 7 11 INFECTED 2
312 0 35 INFECTED 2
313 14 13 INFECTED 2
314 16 37 INFECTED 2
315 13 31 INFECTED 2
316 10 6 INFECTED 2
317 5 13 INFECTED 2
318 16 31 INFECTED 2
319 18 1 INFECTED 2
320 3 15 INFECTED 2
321 8 9 INFECTED 2
322 7 34 INFECTED 2
323 9 19 INFECTED 2
324 7 36 INFECTED 2
325 10 36 INFECTED 2
326 5 30 INFECTED 2
327 3 7 INFECTED 2
328 5 26 INFECTED 2
329 8 3 INFECTED 2
330 7 32 INFECTED 2
331 4 19 INFECTED 2
332 5 39 INFECTED 2
333 15 1 INFECTED 2
334 1 19 INFECTED 2
335 4 29 INFECTED 2
336 17 15 INFECTED 2
337 3 34 INFECTED 2
338 19 36 INFECTED 2
339 0 36 INFECTED 2
340 2 31 INFECTED 2
341 14 26 INFECTED 2
342 6 22 INFECTED 2
343 6 31 INFECTED 2
344 10 24 INFECTED 2
345 2 8 INFECTED 2
346 6 16 INFECTED 2
347 3 22 INFECTED 2
348 13 38 INFECTED 2
349 0 36 INFECTED 2
350 1 8 INFECTED 2
351 5 20 INFECTED 2
352 18 23 INFECTED 2
353 7 13 INFECTED 2
354 4 8 INFECTED 2
355 15 34 INFECTED 2
356 14 0 INFECTED 2
357 1 10 INFECTED 2
358 7 4 INFECTED 2
359 3 36 INFECTED 2
360 1 27 INFECTED 2
361 12 32 INFECTED 2
362 9 23 INFECTED 2
363 17 22 INFECTED 2
364 0 37 INFECTED 2
365 4 6 INFECTED 2
366 10 23 INFECTED 2
367 6 26 INFECTED 2
368 11 21 INFECTED 2
369 7 15 INFECTED 2
370 9 34 INFECTED 2
371 17 32 INFECTED 2
372 1 6 INFECTED 2
373 17 17 INFECTED 2
374 10 30 INFECTED 2
375 5 37 INFECTED 2
376 14 22 INFECTED 2
377 15 24 INFECTED 2
378 4 3 INFECTED 2
379 14 4 INFECTED 2
380 5 9 INFECTED 2
381 18 11 INFECTED 2
382 0 34 INFECTED 2
383 3 9 INFECTED 2
384 14 31 INFECTED 2
385 15 29 INFECTED 2
386 18 26 INFECTED 2
387 3 37 INFECTED 2
388 1 17 INFECTED 2
389 19 4 INFECTED 2
390 10 22 INFECTED 2
391 4 16 INFECTED 2
392 16 12 INFECTED 2
393 2 33 INFECTED 2
394 6 38 INFECTED 2
395 3 3 INFECTED 2
396 13 16 INFECTED 2
397 10 5 INFECTED 2
398 6 25 INFECTED 2
399 5 36 INFECTED 2
400 9 7 INFECTED 2
401 5 38 INFECTED 2
402 0 35 INFECTED 2
403 12 14 INFECTED 2
404 16 3 INFECTED 2
405 10 12 INFECTED 2
406 3 31 INFECTED 2
407 18 1 INFECTED 2
408 15 24 INFECTED 2
409 15 34 INFECTED 2
410 16 8 INFECTED 2
411 1 25 INFECTED 2
412 4 12 INFECTED 2
413 12 38 INFECTED 2
414 5 13 INFECTED 2
415 15 8 INFECTED 2
